Experiment,Condition,Split,Classifier,Data_Percentage,Estimated_Accuracy,Best_Size_Percent,Windows_Train_Total,Windows_Needed_Best,Subjects_Equiv_Best
Combined_CNN_64,Combined,64-16-20,SVM (RBF),60.0,0.80427,,,,
Combined_CNN_64,Combined,64-16-20,SVM (RBF),80.0,0.84895,,,,
Combined_CNN_64,Combined,64-16-20,SVM (RBF),100.0,0.89363,96.0,1035.0,994.0,12.29437
Combined_CNN_64,Combined,64-16-20,KNN (k=5),40.0,0.74012,,,,
Combined_CNN_64,Combined,64-16-20,KNN (k=5),60.0,0.78365,,,,
Combined_CNN_64,Combined,64-16-20,KNN (k=5),80.0,0.82719,,,,
Combined_CNN_64,Combined,64-16-20,KNN (k=5),100.0,0.87073,96.0,1035.0,994.0,12.29437
Combined_CNN_64,Combined,64-16-20,LDA,40.0,0.6,,,,
Combined_CNN_64,Combined,64-16-20,LDA,60.0,0.65,,,,
Combined_CNN_64,Combined,64-16-20,LDA,80.0,0.7,,,,
Combined_CNN_64,Combined,64-16-20,LDA,100.0,0.63886,80.0,1035.0,828.0,10.24119
Combined_CNN_70,Combined,70-20-10,SVM (RBF),40.0,0.75959,,,,
Combined_CNN_70,Combined,70-20-10,SVM (RBF),60.0,0.80427,,,,
Combined_CNN_70,Combined,70-20-10,SVM (RBF),80.0,0.84895,,,,
Combined_CNN_70,Combined,70-20-10,SVM (RBF),100.0,0.89363,96.0,1132.0,1087.0,13.44465
Combined_CNN_70,Combined,70-20-10,KNN (k=5),40.0,0.74012,,,,
Combined_CNN_70,Combined,70-20-10,KNN (k=5),60.0,0.78365,,,,
Combined_CNN_70,Combined,70-20-10,KNN (k=5),80.0,0.82719,,,,
Combined_CNN_70,Combined,70-20-10,KNN (k=5),100.0,0.87073,96.0,1132.0,1087.0,13.44465
Combined_CNN_70,Combined,70-20-10,LDA,40.0,0.6,,,,
Combined_CNN_70,Combined,70-20-10,LDA,60.0,0.65,,,,
Combined_CNN_70,Combined,70-20-10,LDA,80.0,0.7,,,,
Combined_CNN_70,Combined,70-20-10,LDA,100.0,0.63886,80.0,1132.0,906.0,11.20594
